Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
brc202d;481;530;60;211779;9;1;298,734000000171;7602;7;10;26;4;394;
den520d;257;256;70;37614;0;1;449,561900000088;9781;2;3;42;1;266;
ost003d;194;194;70;24422;0;1;12494,3061000002;8142;217;433;421;10;326;
brc202d;481;530;70;211779;0;1;3146,31750000012;8599;86;170;169;9;364;
den520d;257;256;70;37614;1;1;6679,85580000002;9127;71;139;146;1;314;
ost003d;194;194;70;24422;1;1;5830,48549999995;8371;116;231;207;13;338;
brc202d;481;530;70;211779;1;1;253,163599999854;7722;3;5;27;2;427;
den520d;257;256;70;37614;2;1;3404,77230000007;9373;79;156;198;5;381;
ost003d;194;194;70;24422;2;0;300008,7991;-2;285;562;624;8;-1;
brc202d;481;530;70;211779;2;1;262,6054;8527;3;3;28;2;349;
den520d;257;256;70;37614;3;1;498,05839999998;9496;4;7;34;3;353;
ost003d;194;194;70;24422;3;0;300002,9255;-2;397;725;784;12;-1;
brc202d;481;530;70;211779;3;1;3696,37379999994;8616;55;104;101;8;415;
den520d;257;256;70;37614;4;1;1824,67729999986;9557;9;10;51;5;381;
ost003d;194;194;70;24422;4;1;8839,30169999995;8026;249;480;436;10;334;
brc202d;481;530;70;211779;4;1;353,419800000032;8682;8;13;39;6;404;
den520d;257;256;70;37614;5;1;525,969399999827;9568;4;7;37;3;346;
ost003d;194;194;70;24422;5;1;3979,22650000011;7669;72;143;146;9;317;
brc202d;481;530;70;211779;5;1;379,625699999975;9202;4;7;31;3;467;
den520d;257;256;70;37614;6;1;704,422199999914;10645;5;9;50;3;366;
ost003d;194;194;70;24422;6;1;105915,7206;6926;432;859;669;11;335;
brc202d;481;530;70;211779;6;1;292,192100000102;8531;3;5;34;2;422;
den520d;257;256;70;37614;7;1;850,98170000012;10049;9;17;50;5;356;
ost003d;194;194;70;24422;7;0;300005,6781;-2;435;792;880;7;-1;
brc202d;481;530;70;211779;7;1;237,23499999987;9108;1;1;30;0;310;
den520d;257;256;70;37614;8;1;1254,62030000007;10042;9;17;50;5;384;
ost003d;194;194;70;24422;8;0;300007,7972;-2;266;530;545;11;-1;
brc202d;481;530;70;211779;8;1;145,692100000102;8247;1;1;23;0;320;
den520d;257;256;70;37614;9;1;722,95650000032;8755;7;7;41;6;397;
ost003d;194;194;70;24422;9;1;3350,82709999988;8451;77;148;168;5;342;
brc202d;481;530;70;211779;9;1;190,926200000104;8430;3;5;30;2;312;
den520d;257;256;80;37614;0;1;1670,40730000008;10479;16;28;61;6;363;
ost003d;194;194;80;24422;0;1;18693,0926000001;8878;302;601;580;13;310;
brc202d;481;530;80;211779;0;1;440,973699999973;9657;6;11;43;4;457;
den520d;257;256;80;37614;1;1;22743,4657000001;11877;96;187;188;5;355;
ost003d;194;194;80;24422;1;1;455,674899999984;7679;4;7;55;2;282;
brc202d;481;530;80;211779;1;1;314,282099999953;9540;4;7;42;2;375;
den520d;257;256;80;37614;2;1;2609,63529999973;10817;26;45;86;7;308;
ost003d;194;194;80;24422;2;1;927,774100000039;8848;5;9;58;3;358;
brc202d;481;530;80;211779;2;1;269,74179999996;10006;4;7;31;3;344;
den520d;257;256;80;37614;3;1;29473,4364;11366;317;631;565;12;332;
ost003d;194;194;80;24422;3;1;14187,9983999999;8740;285;566;521;10;322;
brc202d;481;530;80;211779;3;0;300009,0565;-2;203;339;320;9;-1;
den520d;257;256;80;37614;4;1;15391,6097999997;10381;159;246;240;9;342;
ost003d;194;194;80;24422;4;0;300007,3963;-2;260;433;486;14;-1;
brc202d;481;530;80;211779;4;1;206,178700000048;10007;1;1;25;0;399;
den520d;257;256;80;37614;5;1;606,850800000131;11589;1;1;39;0;375;
ost003d;194;194;80;24422;5;1;182458,2299;8761;438;805;848;11;286;
brc202d;481;530;80;211779;5;1;269,369700000156;9167;5;5;34;4;392;
den520d;257;256;80;37614;6;1;54619,0514000002;11174;309;614;587;10;349;
ost003d;194;194;80;24422;6;0;300008,9856;-2;199;330;320;8;-1;
brc202d;481;530;80;211779;6;1;3577,67519999994;10861;71;140;154;3;546;
den520d;257;256;80;37614;7;1;737,540999999736;10901;1;1;50;0;349;
ost003d;194;194;80;24422;7;1;23086,3796999999;9292;359;649;657;12;387;
brc202d;481;530;80;211779;7;1;346,925899999682;9790;2;3;39;1;332;
den520d;257;256;80;37614;8;1;22707,338;10827;144;281;339;4;387;
ost003d;194;194;80;24422;8;0;300008,9665;-2;546;1018;1165;15;-1;
brc202d;481;530;80;211779;8;1;472,986200000159;9632;7;13;39;4;372;
den520d;257;256;80;37614;9;1;4955,69809999969;10928;75;148;183;2;373;
ost003d;194;194;80;24422;9;1;17540,0848999992;7965;338;672;595;12;353;
brc202d;481;530;80;211779;9;1;1167,76690000016;10653;21;41;75;6;500;
den520d;257;256;90;37614;0;1;5528,53390000015;12916;103;205;210;10;335;
ost003d;194;194;90;24422;0;1;4457,11099999957;9179;109;215;239;8;335;
brc202d;481;530;90;211779;0;1;438,150900000706;11059;7;10;48;4;332;
den520d;257;256;90;37614;1;1;1225,86349999998;12253;7;10;70;4;379;
ost003d;194;194;90;24422;1;0;300009,3058;-2;536;991;1027;14;-1;
brc202d;481;530;90;211779;1;1;602,371299999766;11958;6;9;51;4;419;
den520d;257;256;90;37614;2;1;7160,10499999952;12192;97;132;147;8;382;
ost003d;194;194;90;24422;2;0;300001,980400001;-2;466;927;975;8;-1;
brc202d;481;530;90;211779;2;1;992,511200000532;11122;21;36;64;6;537;
den520d;257;256;90;37614;3;1;616,27430000063;11736;1;1;50;0;330;
ost003d;194;194;90;24422;3;0;300005,8102;-2;450;879;918;14;-1;
brc202d;481;530;90;211779;3;1;2556,12119999994;11563;72;142;142;3;334;
den520d;257;256;90;37614;4;1;11224,5148;13396;140;276;314;4;399;
ost003d;194;194;90;24422;4;0;300002,3318;-2;537;1067;1228;13;-1;
brc202d;481;530;90;211779;4;1;904,238200000487;11549;6;6;53;4;400;
den520d;257;256;90;37614;5;1;11337,8650000002;13441;92;182;239;5;344;
ost003d;194;194;90;24422;5;0;300008,0743;-2;357;709;773;17;-1;
brc202d;481;530;90;211779;5;1;2860,35620000027;11356;80;152;130;5;521;
den520d;257;256;90;37614;6;0;300007,426299999;-2;623;1227;1298;12;-1;
ost003d;194;194;90;24422;6;0;300005,6825;-2;378;627;687;11;-1;
brc202d;481;530;90;211779;6;1;2977,64670000039;11236;71;136;141;3;351;
den520d;257;256;90;37614;7;1;13002,5229000002;12553;175;348;338;9;332;
ost003d;194;194;90;24422;7;1;87593,3748000003;9587;778;1548;1510;19;321;
brc202d;481;530;90;211779;7;1;1063,56859999988;11483;18;30;60;6;441;
den520d;257;256;90;37614;8;1;12766,3612000002;12375;160;317;343;7;328;
ost003d;194;194;90;24422;8;0;300008,4688;-2;366;466;575;5;-1;
brc202d;481;530;90;211779;8;1;7046,02249999996;11258;140;270;258;4;388;
den520d;257;256;90;37614;9;0;300011,7192;-2;292;518;516;15;-1;
ost003d;194;194;90;24422;9;0;300008,0066;-2;401;779;884;11;-1;
brc202d;481;530;90;211779;9;1;659,75549999997;12029;9;16;55;4;394;
den520d;257;256;100;37614;0;1;9289,57160000037;13780;53;60;108;10;385;
ost003d;194;194;100;24422;0;1;274138,2792;10454;659;1308;1699;19;346;
brc202d;481;530;100;211779;0;1;5166,79009999987;13888;151;299;316;6;410;
den520d;257;256;100;37614;1;1;6902,62629999965;12639;82;104;124;13;371;
ost003d;194;194;100;24422;1;0;300002,6364;-2;1024;1858;2236;24;-1;
brc202d;481;530;100;211779;1;1;10073,2094999999;13851;167;284;289;10;388;
den520d;257;256;100;37614;2;1;21015,3610000005;13617;259;496;534;10;343;
ost003d;194;194;100;24422;2;0;300002,5265;-2;583;1160;1447;11;-1;
brc202d;481;530;100;211779;2;1;2377,5177000016;12643;59;93;122;8;374;
den520d;257;256;100;37614;3;1;1301,44700000063;13212;18;35;87;6;345;
ost003d;194;194;100;24422;3;0;300009,0186;-2;598;1162;1298;15;-1;
brc202d;481;530;100;211779;3;1;1681,63009999879;13857;21;41;84;6;484;
den520d;257;256;100;37614;4;1;6608,00349999964;12892;81;158;204;5;351;
ost003d;194;194;100;24422;4;0;300006,648800001;-2;772;1535;1779;15;-1;
brc202d;481;530;100;211779;4;1;11293,9178999998;13525;291;478;466;11;475;
den520d;257;256;100;37614;5;0;300009,585899999;-2;316;556;682;11;-1;
ost003d;194;194;100;24422;5;0;300003,5524;-2;394;784;745;6;-1;
brc202d;481;530;100;211779;5;1;11322,6640000008;15140;109;212;227;10;467;
den520d;257;256;100;37614;6;0;300012,661599999;-2;313;622;737;13;-1;
ost003d;194;194;100;24422;6;0;300005,199200001;-2;1027;2042;2374;22;-1;
brc202d;481;530;100;211779;6;1;1920,31909999996;13240;22;43;78;6;370;
den520d;257;256;100;37614;7;1;24187,2184999995;15428;125;248;291;7;400;
ost003d;194;194;100;24422;7;0;300003,671600001;-2;824;1576;1708;9;-1;
brc202d;481;530;100;211779;7;1;406,08400000073;12408;1;1;43;0;417;
den520d;257;256;100;37614;8;1;1989,63969999924;12437;16;31;82;6;343;
ost003d;194;194;100;24422;8;0;300003,4278;-2;871;1734;1837;21;-1;
brc202d;481;530;100;211779;8;1;4678,33040000126;13630;132;220;210;8;442;
den520d;257;256;100;37614;9;1;19711,5276999995;14896;232;448;544;8;311;
ost003d;194;194;100;24422;9;0;300008,394300001;-2;583;1088;1263;16;-1;
brc202d;481;530;100;211779;9;1;3183,71240000054;12279;63;125;122;9;401;
den520d;257;256;110;37614;0;1;36898,3851999994;14467;371;737;762;11;338;
ost003d;194;194;110;24422;0;0;300001,6533;-2;545;1012;1076;16;-1;
brc202d;481;530;110;211779;0;1;8037,92860000022;15551;123;234;280;8;472;
den520d;257;256;110;37614;1;0;300010,528800001;-2;77;151;240;5;-1;
