Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;EPEA*/SIC Success;EPEA*/SIC Runtime;EPEA*/SIC Solution Cost;EPEA*/SIC Expanded;EPEA*/SIC Generated;EPEA*/SIC Reopened;EPEA*/SIC BPMX boosts;EPEA*/SIC Closed List Hits;EPEA*/SIC Reopened With Old H;EPEA*/SIC H Updated From Other Area;EPEA*/SIC Max expansion delay;EPEA*/SIC Quick Insertions;EPEA*/SIC Quick Insertions Cancelled;EPEA*/SIC Expanded Full States;EPEA*/SIC Solution Depth;Makespan;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;
9x21_left2_right2;9;21;14;90;1;0;300005.7797;-2;523846;449847;0;0;463533;0;0;521799;423477;26177;449847;2;-1;0;300002.2644;-2;658;1145;916;5;-1;
9x21_left2_right2;9;21;14;90;2;0;300003.874599999;-2;399069;318150;0;0;1436840;0;0;397387;273042;44819;318113;3;-1;0;300003.358100001;-1;657;1280;966;-1;-1;
9x21_left2_right2;9;21;14;90;3;0;300002.596799999;-2;288386;211631;0;0;951549;0;0;283454;204952;6670;211631;7;-1;0;300000.830700001;-2;511;937;776;14;-1;
9x21_left2_right2;9;21;14;90;4;0;300003.459899999;-2;455143;402413;0;0;1163266;0;0;454101;372834;29542;402386;2;-1;0;300000.648499999;-2;600;1174;837;6;-1;
9x21_left2_right2;9;21;14;90;5;0;300002.925999999;-2;307311;251324;0;0;1725435;0;0;306779;232123;19060;251324;5;-1;0;300000.766099999;-2;647;1201;859;14;-1;
9x21_left2_right2;9;21;14;90;6;0;300024.9125;-2;407541;359867;0;0;1220145;0;0;406482;315291;44527;359867;7;-1;0;300000.893599998;-2;712;1406;1110;16;-1;
9x21_left2_right2;9;21;14;90;7;0;300003.204700001;-2;489822;367865;0;0;1027967;0;0;481044;351467;15245;367852;4;-1;0;300002.494200001;-2;446;854;601;8;-1;
9x21_left2_right2;9;21;14;90;8;0;300001.978600001;-2;108788;72470;0;0;1374316;0;0;108677;68573;3512;72470;4;-1;0;300003.143400002;-2;591;1162;1108;15;-1;
9x21_left2_right2;9;21;14;90;9;0;300012.101200003;-2;186017;159304;0;0;1602464;0;0;186015;143590;15697;159304;3;-1;0;300000.704300001;-2;652;1287;930;9;-1;
9x21_left2_right2;9;21;16;90;0;0;300004.483399998;-2;312699;258493;0;0;1707091;0;0;302848;186061;72239;258493;6;-1;0;300000.794399999;-2;782;1525;1470;20;-1;
9x21_left2_right2;9;21;16;90;1;0;300008.190900002;-2;347244;226156;0;0;555837;0;0;340223;207694;18437;226137;4;-1;0;300000.931000002;-2;836;1658;1102;11;-1;
9x21_left2_right2;9;21;16;90;2;0;300013.406100001;-2;308108;277089;0;0;743145;0;0;307897;243719;33249;277089;6;-1;0;300006.444499999;-2;821;1599;1311;11;-1;
9x21_left2_right2;9;21;16;90;3;0;300003.5493;-2;347180;311772;0;0;1154863;0;0;334498;268359;43092;302160;4;-1;0;300000.771600001;-2;741;1426;1119;13;-1;
9x21_left2_right2;9;21;16;90;4;0;300004.353399999;-2;277954;232838;0;0;421772;0;0;275255;173373;59320;232650;6;-1;0;300004.862000003;-2;841;1655;1359;17;-1;
9x21_left2_right2;9;21;16;90;5;0;300003.336399999;-2;371352;314031;0;0;378736;0;0;370407;291372;22466;314031;4;-1;0;300004.091000002;-2;550;1013;767;11;-1;
9x21_left2_right2;9;21;16;90;6;0;300001.9223;-2;160818;116023;0;0;286377;0;0;160621;109329;6645;116023;5;-1;0;300001.817900002;-1;840;1664;1308;-1;-1;
9x21_left2_right2;9;21;16;90;7;0;300002.8506;-2;327024;276044;0;0;871584;0;0;322512;256323;19656;276020;5;-1;0;300003.870499998;-2;888;1717;1274;13;-1;
9x21_left2_right2;9;21;16;90;8;0;300002.918000001;-2;153602;124966;0;0;1482189;0;0;152388;80343;44430;124966;5;-1;0;300002.256300002;-2;577;1146;1040;21;-1;
9x21_left2_right2;9;21;16;90;9;0;300002.875500001;-2;321964;283294;0;0;633444;0;0;317091;256741;26488;283260;7;-1;0;300002.526899997;-2;602;1177;1133;22;-1;
9x21_left2_right2;9;21;18;90;0;0;300003.047800001;-2;332316;300464;0;0;640964;0;0;330572;282432;18003;299859;4;-1;0;300002.405700002;-2;564;1107;900;13;-1;
9x21_left2_right2;9;21;18;90;1;0;300005.1525;-2;303138;277858;0;0;387352;0;0;296484;241801;35576;277858;5;-1;0;300002.216400001;-1;925;1764;1353;-1;-1;
9x21_left2_right2;9;21;18;90;2;0;300008.637699999;-2;86851;70566;0;0;127265;0;0;86616;45339;25194;70566;5;-1;0;300012.354699999;-2;1135;2223;1762;16;-1;
