sep=;
Instance; Models; Optimum; 1stOptimization; Calls; 1stTime(Total); 1stTime(Solving);1stTime(Unsat); 1stCPU Time; Threads; MIN-Timestep;Min-SUMTIME; 1stSOL-COST;Optimization;Time(Total); Time(Solving);Time(Unsat); CPU Time; SOL-COST
Instance-10-20-6-62;1,0;1,0;2,0;1,0;0,1379566192626953;0,006000518798828125;0,0010013580322265625;0,125;4,0;10;32;34,0;2,0;0,1049652099609375;0,009996414184570312;0,0009975433349609375;0,109375;34,0
Instance-10-20-6-63;1,0;1,0;1,0;1,0;0,1299571990966797;0,00499725341796875;0,0009975433349609375;0,171875;4,0;10;39;40,0;1,0;0,056980133056640625;0,00699615478515625;0,0009975433349609375;0,046875;40,0
Instance-10-20-6-64;1,0;1,0;3,0;1,0;0,21293067932128906;0,010995864868164062;0,00099945068359375;0,21875;4,0;13;63;66,0;1,0;0,1439533233642578;0,011997222900390625;0,0009975433349609375;0,125;64,0
Instance-10-20-6-65;1,0;1,0;7,0;2,0;0,3338909149169922;0,296905517578125;0,007997512817382812;1,09375;4,0;17;56;63,0;5,0;5,041858673095703;4,742956161499023;0,028989791870117188;15,03125;61,0
Instance-10-20-6-66;1,0;1,0;4,0;1,0;0,16394615173339844;0,010995864868164062;0,0019989013671875;0,171875;4,0;11;50;54,0;4,0;0,26099395751953125;0,08697319030761719;0,0019989013671875;0,484375;54,0
Instance-10-20-6-67;1,0;1,0;0,0;1,0;0,08389472961425781;0,00299835205078125;0,0010013580322265625;0,078125;4,0;8;25;25,0;0,0;0,02599334716796875;0,0030002593994140625;0,00099945068359375;0,03125;25,0
Instance-10-20-6-68;1,0;1,0;4,0;2,0;0,04398536682128906;0,012996673583984375;0,00099945068359375;0,078125;4,0;11;46;50,0;4,0;0,17994308471679688;0,03499031066894531;0,0019989013671875;0,25;50,0
Instance-10-20-6-69;1,0;1,0;2,0;1,0;0,16994667053222656;0,006999969482421875;0,0;0,125;4,0;11;41;43,0;2,0;0,111968994140625;0,012994766235351562;0,00099945068359375;0,140625;43,0
Instance-10-20-6-7;1,0;1,0;1,0;1,0;0,17794227600097656;0,0069980621337890625;0,0009975433349609375;0,21875;4,0;12;53;54,0;1,0;0,07197761535644531;0,007999420166015625;0,00099945068359375;0,0625;54,0
Instance-10-20-6-70;1,0;1,0;0,0;1,0;0,16394805908203125;0,0069980621337890625;0,0009975433349609375;0,203125;4,0;11;47;47,0;0,0;0,038990020751953125;0,005001068115234375;0,0010013580322265625;0,03125;47,0
Instance-10-20-6-71;1,0;1,0;2,0;1,0;0,20528221130371094;0,009996414184570312;0,0009975433349609375;0,234375;4,0;13;50;52,0;2,0;0,12495994567871094;0,015996932983398438;0,0019969940185546875;0,171875;52,0
Instance-10-20-6-72;1,0;1,0;2,0;1,0;0,1609516143798828;0,008996963500976562;0,00099945068359375;0,140625;4,0;11;40;42,0;2,0;0,11209869384765625;0,0149993896484375;0,0010013580322265625;0,15625;42,0
Instance-10-20-6-73;1,0;1,0;0,0;1,0;0,13698959350585938;0,00499725341796875;0,0009975433349609375;0,125;4,0;10;43;43,0;0,0;0,03299140930175781;0,0039997100830078125;0,0;0,046875;43,0
Instance-10-20-6-74;1,0;1,0;0,0;1,0;0,16994476318359375;0,00499725341796875;0,0;0,15625;4,0;11;33;33,0;0,0;0,03499031066894531;0,004001617431640625;0,0;0,03125;33,0
Instance-10-20-6-75;1,0;1,0;1,0;1,0;0,27824974060058594;0,012996673583984375;0,0010013580322265625;0,3125;4,0;15;42;43,0;1,0;0,09003067016601562;0,013996124267578125;0,0019989013671875;0,078125;43,0
Instance-10-20-6-76;1,0;1,0;2,0;1,0;0,18400955200195312;0,009996414184570312;0,0009975433349609375;0,21875;4,0;11;41;43,0;2,0;0,11996269226074219;0,013998031616210938;0,0010013580322265625;0,140625;43,0
Instance-10-20-6-77;1,0;1,0;0,0;1,0;0,25691986083984375;0,007997512817382812;0,00099945068359375;0,234375;4,0;13;36;36,0;0,0;0,043987274169921875;0,005001068115234375;0,00099945068359375;0,046875;36,0
Instance-10-20-6-78;1,0;1,0;5,0;1,0;0,2949085235595703;0,04198646545410156;0,0030002593994140625;0,390625;4,0;14;49;54,0;3,0;0,387969970703125;0,1319580078125;0,0039958953857421875;0,6875;52,0
Instance-10-20-6-79;1,0;1,0;0,0;1,0;0,32317161560058594;0,011999130249023438;0,00099945068359375;0,328125;4,0;16;56;56,0;0,0;0,04898643493652344;0,007999420166015625;0,00099945068359375;0,046875;56,0
Instance-10-20-6-8;1,0;1,0;0,0;1,0;0,21193313598632812;0,00699615478515625;0,00099945068359375;0,203125;4,0;13;35;35,0;0,0;0,0369873046875;0,0039997100830078125;0,0;0,0625;35,0
Instance-10-20-6-80;1,0;1,0;0,0;1,0;0,2501087188720703;0,007986068725585938;0,0009975433349609375;0,265625;4,0;13;36;36,0;0,0;0,04398536682128906;0,006999969482421875;0,00099945068359375;0,09375;36,0
Instance-10-20-6-81;1,0;1,0;0,0;1,0;0,13295745849609375;0,0049991607666015625;0,00099945068359375;0,125;4,0;10;36;36,0;0,0;0,0389862060546875;0,0039997100830078125;0,0;0,046875;36,0
Instance-10-20-6-82;1,0;1,0;2,0;1,0;0,20294189453125;0,010995864868164062;0,00099945068359375;0,234375;4,0;12;51;53,0;1,0;0,11711883544921875;0,012996673583984375;0,0010013580322265625;0,109375;52,0
Instance-10-20-6-83;1,0;1,0;5,0;2,0;0,02999114990234375;0,007999420166015625;0,0020008087158203125;0,046875;4,0;9;36;41,0;5,0;0,19893646240234375;0,0389862060546875;0,0029964447021484375;0,28125;41,0
Instance-10-20-6-84;1,0;1,0;0,0;1,0;0,37384605407714844;0,012996673583984375;0,0019989013671875;0,40625;4,0;18;49;49,0;0,0;0,04798698425292969;0,007999420166015625;0,0010013580322265625;0,078125;49,0
Instance-10-20-6-85;1,0;1,0;0,0;1,0;0,10206031799316406;0,004093170166015625;0,0009860992431640625;0,109375;4,0;9;37;37,0;0,0;0,028989791870117188;0,003997802734375;0,0;0,046875;37,0
Instance-10-20-6-86;1,0;1,0;0,0;1,0;0,127960205078125;0,0039997100830078125;0,0;0,125;4,0;10;32;32,0;0,0;0,03998756408691406;0,009998321533203125;0,0009975433349609375;0,03125;32,0
Instance-10-20-6-87;1,0;1,0;2,0;1,0;0,1669464111328125;0,006999969482421875;0,00099945068359375;0,15625;4,0;11;44;46,0;2,0;0,11394500732421875;0,012996673583984375;0,0009975433349609375;0,15625;46,0
Instance-10-20-6-88;1,0;1,0;2,0;1,0;0,19093704223632812;0,009996414184570312;0,000995635986328125;0,21875;4,0;12;45;47,0;2,0;0,12222671508789062;0,017993927001953125;0,00099945068359375;0,171875;47,0
Instance-10-20-6-89;1,0;1,0;0,0;1,0;0,18101119995117188;0,0069980621337890625;0,0;0,203125;4,0;12;48;48,0;0,0;0,03798866271972656;0,005001068115234375;0,0;0,03125;48,0
Instance-10-20-6-9;1,0;1,0;6,0;2,0;0,06298065185546875;0,02799224853515625;0,00099945068359375;0,140625;4,0;14;54;60,0;4,0;1,1200942993164062;0,8847103118896484;0,0059947967529296875;3,171875;58,0
Instance-10-20-6-90;1,0;1,0;6,0;1,0;0,2449207305908203;0,05798149108886719;0,0019989013671875;0,421875;4,0;12;33;39,0;6,0;0,8847122192382812;0,6197967529296875;0,006999969482421875;2,46875;39,0
Instance-10-20-6-91;1,0;1,0;0,0;1,0;0,19913482666015625;0,0059986114501953125;0,0009975433349609375;0,1875;4,0;12;47;47,0;0,0;0,03798866271972656;0,0049991607666015625;0,00099945068359375;0,0625;47,0
Instance-10-20-6-92;1,0;1,0;2,0;1,0;0,1541767120361328;0,00899505615234375;0,002994537353515625;0,1875;4,0;11;46;48,0;2,0;0,11596488952636719;0,016994476318359375;0,00299835205078125;0,125;48,0
Instance-10-20-6-93;1,0;1,0;2,0;1,0;0,31690025329589844;0,013994216918945312;0,0019969940185546875;0,328125;4,0;16;61;63,0;2,0;0,13095664978027344;0,016994476318359375;0,0019969940185546875;0,15625;63,0
Instance-10-20-6-94;1,0;1,0;2,0;1,0;0,15394973754882812;0,0069980621337890625;0,0009975433349609375;0,140625;4,0;11;43;45,0;2,0;0,10996627807617188;0,015996932983398438;0,0010013580322265625;0,171875;45,0
Instance-10-20-6-95;1,0;1,0;0,0;1,0;0,09896659851074219;0,00499725341796875;0,0019969940185546875;0,09375;4,0;8;29;29,0;0,0;0,02899169921875;0,003002166748046875;0,0;0,03125;29,0
Instance-10-20-6-96;1,0;1,0;0,0;1,0;0,18427085876464844;0,0069980621337890625;0,0;0,203125;4,0;11;50;50,0;0,0;0,0369873046875;0,0049991607666015625;0,00099945068359375;0,03125;50,0
Instance-10-20-6-97;1,0;1,0;0,0;1,0;0,3030242919921875;0,009998321533203125;0,0009975433349609375;0,296875;4,0;15;35;35,0;0,0;0,04607391357421875;0,006999969482421875;0,0009975433349609375;0,09375;35,0
Instance-10-20-6-98;1,0;1,0;0,0;1,0;0,19493865966796875;0,0059986114501953125;0,00099945068359375;0,234375;4,0;12;40;40,0;0,0;0,0389862060546875;0,00499725341796875;0,0009975433349609375;0,03125;40,0
Instance-10-20-6-99;1,0;1,0;0,0;1,0;0,20802688598632812;0,0069980621337890625;0,0009975433349609375;0,265625;4,0;12;48;48,0;0,0;0,04298591613769531;0,00499725341796875;0,0;0,03125;48,0
