Grid Name;Grid Rows;Grid Columns;Num Of Agents;Num Of Obstacles;Instance Id;EPEA*/SIC Success;EPEA*/SIC Runtime;EPEA*/SIC Solution Cost;EPEA*/SIC Expanded;EPEA*/SIC Generated;EPEA*/SIC Reopened;EPEA*/SIC BPMX boosts;EPEA*/SIC Closed List Hits;EPEA*/SIC Reopened With Old H;EPEA*/SIC H Updated From Other Area;EPEA*/SIC Max expansion delay;EPEA*/SIC Quick Insertions;EPEA*/SIC Quick Insertions Cancelled;EPEA*/SIC Expanded Full States;EPEA*/SIC Solution Depth;Makespan;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);MA-CBS-Global-64/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Success;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Runtime;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Cost;HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Expanded (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Generated (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart MDDs Built (HL);HCBS/(single:A*/SIC multi:EPEA*/SIC) with first fit adoption max expansions: 1 with merge&restart Solution Depth;Makespan;ICTS  Success;ICTS  Runtime;ICTS  Solution Cost;ICTS  Expanded (HL);ICTS  Generated (HL);ICTS  Expanded (LL);ICTS  Generated (LL);ICTS  Passed;ICTS  Solution Depth;Makespan;
;8;8;10;9;6;1;236,620400000364;45;1627;1345;0;0;0;0;0;1595;1309;11;1334;5;8;1;6,50840000016615;45;35;60;24;5;8;1;1,1390999997966;45;5;11;10;5;8;1;1268,0373999998;45;2384;23821;30229;27864;2382;0;8;
;8;8;10;9;7;1;415,177799999714;44;1666;1642;0;0;4324;0;0;889;342;1267;1346;2;10;1;1,99680000031367;44;6;8;12;2;10;1;1,46549999993294;44;3;5;11;2;10;1;15,1833999999799;44;13;111;917;1003;11;0;10;
;8;8;10;9;8;1;22,0191999999806;47;182;171;0;0;259;0;0;163;115;39;169;1;9;1;0,859199999831617;47;2;4;6;1;9;1;0,724899999797344;47;2;4;6;1;9;1;48,1144000003114;47;8;61;3958;3997;6;0;9;
;8;8;10;9;9;1;2,69699999969453;55;16;157;0;0;2;0;0;3;13;23;16;0;12;1;1,0429000002332;55;1;1;9;0;12;1;1,29029999999329;55;1;1;9;0;12;1;0,73519999999553;55;2;1;13;149;0;0;12;
;8;8;10;12;0;0;300062,3753;-2;265449;168572;0;0;4967874;0;0;264495;125626;25608;166171;6;-1;1;38,7283000000753;54;70;94;71;7;9;1;26,0274000000209;54;36;48;51;7;9;0;300000,1858;-2;1552;15511;3951849;3950319;1551;0;-1;
;8;8;10;12;1;1;1,81539999973029;51;15;82;0;0;0;0;0;1;14;3;15;0;15;1;0,701799999922514;51;1;1;5;0;15;1;0,699299999512732;51;1;1;5;0;15;1;0,37529999949038;51;2;1;15;81;0;0;15;
;8;8;10;12;2;1;4,08419999945909;74;17;178;0;0;1;0;0;4;14;67;17;0;12;1;1,70550000015646;74;2;3;11;0;12;1;1,80739999935031;74;2;3;11;0;12;1;1,51429999992251;74;2;1;18;178;0;0;12;
;8;8;10;12;3;1;2997,15879999939;63;17525;13118;0;0;86089;0;0;17371;6874;1703;13116;5;13;1;11,4479000000283;63;11;16;19;5;13;1;8,36749999970198;63;9;13;19;5;13;1;84874,1353999991;63;2538;25361;2483120;2480643;2536;0;13;
;8;8;10;12;4;1;998,410099999979;58;4287;3288;0;0;20146;0;0;3290;1398;385;3283;4;10;1;5,31269999966025;58;17;33;25;4;10;1;3,4863999998197;58;11;21;27;4;10;1;9699,48039999977;58;737;7351;412570;411981;735;0;10;
;8;8;10;12;5;1;33,6417000005022;50;307;278;0;0;424;0;0;292;191;74;262;3;9;1;3,19419999979436;50;9;15;15;3;9;1;2,45390000008047;50;7;12;15;3;9;1;32,6088000005111;50;76;741;1084;1027;74;0;9;
;8;8;10;12;6;1;1414,59829999972;69;7148;5247;0;0;42161;0;0;6714;3735;1500;5245;5;11;1;22,7578999996185;69;67;121;87;5;11;1;23,4817000003532;69;58;110;109;5;11;1;5534,92879999988;69;1093;10911;305657;304707;1091;0;11;
;8;8;10;12;7;1;4,75399999972433;61;34;41;0;0;6;0;0;23;22;10;30;1;11;1;1,53179999999702;61;3;5;11;1;11;1;1,17339999973774;61;2;3;11;1;11;1;3,9468999998644;61;10;81;132;138;8;0;11;
;8;8;10;12;8;1;6363,5959999999;61;19823;16750;0;0;208816;0;0;19495;10416;6321;16741;4;12;1;79,910500000231;61;172;305;177;4;12;1;80,4647000003606;61;167;296;226;4;12;1;224793,4608;61;591;5891;3135633;3135470;589;0;12;
;8;8;10;12;9;0;300012,5436;-2;349148;219030;0;0;4914754;0;0;347428;197414;751;219029;6;-1;1;26,1382999997586;65;68;99;69;10;13;1;16,3753999993205;65;36;60;56;10;13;0;300000,1819;-2;1702;17011;6798400;6796748;1701;0;-1;
;8;8;10;16;0;1;2,38620000053197;54;30;31;0;0;37;0;0;22;12;6;29;1;12;1;1,64559999946505;54;4;6;8;1;12;1;1,5148999998346;54;3;5;8;1;12;1;16,3257999997586;54;7;51;1084;1103;5;0;12;
;8;8;10;16;1;0;300031,2061;-2;298538;160960;0;0;4941509;0;0;297559;126869;10996;160925;8;-1;0;300021,9303;-2;658;1187;694;6;-1;1;212,88040000014;66;405;753;590;9;12;0;300000,394499999;-2;6516;65151;5820727;5814378;6515;0;-1;
;8;8;10;16;2;0;300001,280900001;-2;298132;166242;0;0;3610520;0;0;297374;136825;14252;166242;8;-1;1;163803,264900001;74;468;877;385;11;15;1;153336,6614;74;407;785;693;11;13;0;300000,449100001;-2;9934;99331;7334628;7325022;9933;0;-1;
;8;8;10;16;3;0;300001,3291;-2;250190;126964;0;0;5473393;0;0;250009;111170;12878;126964;8;-1;0;300001,308;-2;324;530;347;12;-1;0;300001,0375;-2;374;662;643;12;-1;0;300000,187;-2;8491;84901;7548825;7540420;8490;0;-1;
;8;8;10;16;4;1;17515,6762000006;69;56676;35606;0;0;459480;0;0;50679;24452;4655;35604;9;14;1;196,386300000362;69;181;285;207;9;14;1;98,8576999995857;69;160;270;283;9;14;1;182041,2479;69;50116;501141;5771854;5721784;50114;0;14;
